operation,direction_key,slope,signed_slope,line_bin_width,line_id,n_pixels_used,used_fallback,line_median,global_median,stripe_offset_subtracted
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-55,175,0,-0.00397915046618807,0.0006766097436699554,-0.004655760209858025
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-54,179,0,-0.010632697356539881,0.0006766097436699554,-0.011309307100209836
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-53,183,0,-0.01908187569297498,0.0006766097436699554,-0.019758485436644935
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-52,187,0,-0.0038175503200008525,0.0006766097436699554,-0.004494160063670808
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-51,191,0,-0.010363310976752697,0.0006766097436699554,-0.011039920720422652
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-50,195,0,-0.012402983442295054,0.0006766097436699554,-0.01307959318596501
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-49,199,0,-0.00909210702620659,0.0006766097436699554,-0.009768716769876545
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-48,203,0,-0.00582299217531233,0.0006766097436699554,-0.006499601918982285
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-47,209,0,-0.00289384695806901,0.0006766097436699554,-0.003570456701738965
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-46,213,0,0.0025544643570165303,0.0006766097436699554,0.001877854613346575
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-45,217,0,0.0010628988563759984,0.0006766097436699554,0.000386289112706043
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-44,221,0,-0.003062968224542912,0.0006766097436699554,-0.0037395779682128675
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-43,225,0,-0.00737038990988411,0.0006766097436699554,-0.008046999653554064
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-42,229,0,0.006137438504204435,0.0006766097436699554,0.00546082876053448
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-41,233,0,-0.001535321080065738,0.0006766097436699554,-0.0022119308237356933
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-40,237,0,-0.0030693884171269486,0.0006766097436699554,-0.003745998160796904
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-39,241,0,-0.0008354344900069833,0.0006766097436699554,-0.0015120442336769386
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-38,245,0,-0.004919276783577138,0.0006766097436699554,-0.005595886527247094
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-37,249,0,0.002291069105765043,0.0006766097436699554,0.0016144593620950878
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-36,253,0,-7.882245738293284e-06,0.0006766097436699554,-0.0006844919894082487
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-35,257,0,-0.0010167032234884702,0.0006766097436699554,-0.0016933129671584256
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-34,261,0,-0.0008015957371136128,0.0006766097436699554,-0.0014782054807835681
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-33,265,0,-0.0004568166274402201,0.0006766097436699554,-0.0011334263711101755
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-32,269,0,-0.0035256308032679366,0.0006766097436699554,-0.004202240546937892
dwt_broad_then_median_thin_primary:thin_primary,y_minus_x,0.9792723507257799,0.9792723507257799,2.0,-31,273,0,-0.00042749016887311253,0.0006766097436699554,-0.001104099912543068
